"","data_dte","Year","Month","usg_apt_id","usg_apt","usg_wac","fg_apt_id","fg_apt","fg_wac","airlineid","carrier","carriergroup","type","Scheduled","Charter","Total"
"4686","03/01/2020",2020,3,12892,"LAX",91,14717,"SCL",324,19552,"LA",0,"Passengers",5346,0,5346
"4687","01/01/2020",2020,1,12478,"JFK",22,16217,"YUL",941,20363,"9E",1,"Passengers",5348,0,5348
"4688","02/01/2020",2020,2,11697,"FLL",33,14210,"POS",280,19542,"BW",0,"Passengers",5349,0,5349
"4689","02/01/2020",2020,2,11697,"FLL",33,11082,"CNF",316,21638,"AD",0,"Passengers",5350,0,5350
"4690","01/01/2020",2020,1,12264,"IAD",32,12472,"JED",670,19624,"SV",0,"Passengers",5350,0,5350
"4691","02/01/2020",2020,2,12478,"JFK",22,13560,"MXP",450,21433,"IG",0,"Passengers",5351,0,5351
"4692","02/01/2020",2020,2,11697,"FLL",33,13952,"OSL",465,21579,"DY",0,"Passengers",5354,0,5354
"4693","03/01/2020",2020,3,12478,"JFK",22,10292,"AMS",461,21579,"DY",0,"Passengers",5359,0,5359
"4694","01/01/2020",2020,1,10721,"BOS",13,10517,"BCN",482,19547,"IB",0,"Passengers",5365,0,5365
"4695","02/01/2020",2020,2,13204,"MCO",33,11082,"CNF",316,21638,"AD",0,"Passengers",5369,0,5369
"4696","01/01/2020",2020,1,14107,"PHX",81,12164,"HMO",148,20304,"OO",1,"Passengers",5372,0,5372
"4697","02/01/2020",2020,2,12478,"JFK",22,10521,"BDA",207,19790,"DL",1,"Passengers",5374,0,5374
"4698","03/01/2020",2020,3,14679,"SAN",91,16271,"YYZ",936,21610,"RV",0,"Passengers",5380,0,5380
"4699","03/01/2020",2020,3,12266,"IAH",74,12986,"LIM",368,19977,"UA",1,"Passengers",5381,362,5743
"4700","02/01/2020",2020,2,13303,"MIA",33,11435,"DUB",441,19623,"EI",0,"Passengers",5382,0,5382
"4701","01/01/2020",2020,1,11433,"DTW",43,16149,"YOW",936,20363,"9E",1,"Passengers",5382,0,5382
"4702","01/01/2020",2020,1,11298,"DFW",74,11874,"GDL",148,21351,"Y4",0,"Passengers",5382,0,5382
"4703","02/01/2020",2020,2,11298,"DFW",74,14879,"SLP",148,20378,"YV",1,"Passengers",5384,0,5384
"4704","03/01/2020",2020,3,12173,"HNL",2,13744,"NRT",736,19977,"UA",1,"Passengers",5387,0,5387
"4705","02/01/2020",2020,2,14107,"PHX",81,13252,"MEX",148,19805,"AA",1,"Passengers",5390,0,5390
"4706","02/01/2020",2020,2,12892,"LAX",91,10517,"BCN",482,21579,"DY",0,"Passengers",5392,0,5392
"4707","02/01/2020",2020,2,12173,"HNL",2,10244,"AKL",851,19690,"HA",1,"Passengers",5398,0,5398
"4708","01/01/2020",2020,1,11697,"FLL",33,13180,"MBJ",243,20416,"NK",1,"Passengers",5400,0,5400
"4709","01/01/2020",2020,1,14771,"SFO",91,13243,"MEL",802,19977,"UA",1,"Passengers",5402,0,5402
"4710","03/01/2020",2020,3,10821,"BWI",32,14293,"PUJ",224,19393,"WN",1,"Passengers",5402,0,5402
"4711","02/01/2020",2020,2,10693,"BNA",54,12972,"LHR",493,19540,"BA",0,"Passengers",5404,0,5404
"4712","01/01/2020",2020,1,13796,"OAK",91,10638,"BJX",148,21351,"Y4",0,"Passengers",5407,0,5407
"4713","02/01/2020",2020,2,14747,"SEA",93,16257,"YYC",916,21167,"CP",1,"Passengers",5422,0,5422
"4714","01/01/2020",2020,1,14027,"PBI",33,16217,"YUL",941,21610,"RV",0,"Passengers",5423,0,5423
"4715","01/01/2020",2020,1,12892,"LAX",91,13370,"MLM",148,21351,"Y4",0,"Passengers",5427,0,5427
"4716","03/01/2020",2020,3,14107,"PHX",81,16229,"YVR",906,20229,"WS",0,"Passengers",5427,0,5427
"4717","02/01/2020",2020,2,13204,"MCO",33,13180,"MBJ",243,20409,"B6",1,"Passengers",5431,0,5431
"4718","01/01/2020",2020,1,12892,"LAX",91,10357,"ARN",484,19571,"SK",0,"Passengers",5432,0,5432
"4719","02/01/2020",2020,2,13303,"MIA",33,14681,"SAP",131,19574,"TA",0,"Passengers",5442,0,5442
"4720","01/01/2020",2020,1,10721,"BOS",13,10292,"AMS",461,19551,"KL",0,"Passengers",5446,0,5446
"4721","03/01/2020",2020,3,12478,"JFK",22,13616,"NBO",535,21949,"KQ",0,"Passengers",5452,0,5452
"4722","03/01/2020",2020,3,11298,"DFW",74,10846,"BZE",106,19805,"AA",1,"Passengers",5453,0,5453
"4723","01/01/2020",2020,1,14107,"PHX",81,11874,"GDL",148,21351,"Y4",0,"Passengers",5455,0,5455
"4724","03/01/2020",2020,3,13487,"MSP",63,14293,"PUJ",224,20422,"SY",1,"Passengers",5458,0,5458
